,Revenue,State,x-Mean,1.96*std,Outlier
2012-01-01,1.0,NY,5.0,7.554813035409943,False
2012-02-01,2.0,NY,4.0,7.554813035409943,False
2012-03-01,3.0,NY,3.0,7.554813035409943,False
2012-04-01,4.0,NY,2.0,7.554813035409943,False
2012-05-01,5.0,FL,2.25,3.434996360987883,False
2012-06-01,6.0,FL,1.25,3.434996360987883,False
2012-07-01,7.0,GA,0.25,0.98,False
2012-08-01,8.0,GA,0.75,0.98,False
2012-09-01,9.0,FL,1.75,3.434996360987883,False
2012-10-01,10.0,FL,2.75,3.434996360987883,False
2013-01-01,10.0,NY,4.0,7.554813035409943,False
2013-02-01,10.0,NY,4.0,7.554813035409943,False
2013-03-01,9.0,NY,3.0,7.554813035409943,False
2013-04-01,9.0,NY,3.0,7.554813035409943,False
2013-05-01,8.0,FL,0.75,3.434996360987883,False
2013-06-01,8.0,FL,0.75,3.434996360987883,False
2013-07-01,7.0,GA,0.25,0.98,False
2013-08-01,7.0,GA,0.25,0.98,False
2013-09-01,6.0,FL,1.25,3.434996360987883,False
2013-10-01,6.0,FL,1.25,3.434996360987883,False
